"scenario","loss_fn","n","method","bins","mse_train","mse_test","mse_oracle","excess_risk","n_leaves","success_rate","n_valid"
"smooth","squared_error",100,"Fixed-2",2,0.603424582193106,0.641262113741579,0.263608554200832,0.377653559540748,2,1,50
"smooth","squared_error",100,"Fixed-4",4,0.61560734828052,0.660470668150962,0.254924517827887,0.405546150323075,2,1,50
"smooth","squared_error",100,"Adaptive",2,0.595418252377307,0.619932866128407,0.249940013010821,0.369992853117586,2,1,50
"smooth","squared_error",200,"Fixed-2",2,0.597428502064139,0.604198779912881,0.248777976895976,0.355420803016906,2,1,50
"smooth","squared_error",200,"Fixed-4",4,0.604145935526603,0.609277969847278,0.246827435214742,0.362450534632536,2,1,50
"smooth","squared_error",200,"Adaptive",2,0.594329047643382,0.606092287036668,0.251486924043173,0.354605362993495,2,1,50
"smooth","squared_error",500,"Fixed-2",2,0.600967839335989,0.600401481333802,0.247593189037935,0.352808292295867,2,1,50
"smooth","squared_error",500,"Fixed-4",4,0.597086579962406,0.605129515119881,0.247257490005295,0.357872025114586,2,1,50
"smooth","squared_error",500,"Adaptive",3,0.623429635821934,0.648526948997062,0.249962146531367,0.398564802465695,2,1,50
"smooth","squared_error",1000,"Fixed-2",2,0.601939105915243,0.606340630223853,0.251819429995383,0.35452120022847,2,1,50
"smooth","squared_error",1000,"Fixed-4",4,0.597620259926195,0.605783679770803,0.250482460218487,0.355301219552316,2,1,50
"smooth","squared_error",1000,"Adaptive",3,0.631480569110797,0.635895249447135,0.248656836547496,0.387238412899638,2,1,50
"smooth","squared_error",2000,"Fixed-2",2,0.598615751990447,0.598584736212921,0.249170883713782,0.349413852499139,2,1,50
"smooth","squared_error",2000,"Fixed-4",4,0.599562078239841,0.599316362359765,0.247679065343314,0.351637297016451,2,1,50
"smooth","squared_error",2000,"Adaptive",3,0.636381231006524,0.644621089422066,0.251093012042987,0.393528077379079,2,1,50
"step","squared_error",100,"Fixed-2",2,0.556277261782748,0.578209137079385,0.251153636973831,0.327055500105554,2,1,50
"step","squared_error",100,"Fixed-4",4,0.558923394019498,0.579303685154302,0.248551399238595,0.330752285915707,2,1,50
"step","squared_error",100,"Adaptive",2,0.541664031623317,0.559090995748404,0.24765569034138,0.311435305407023,2,1,50
"step","squared_error",200,"Fixed-2",2,0.529849208722281,0.553120889455943,0.249855607168095,0.303265282287848,2,1,50
"step","squared_error",200,"Fixed-4",4,0.541341335636198,0.524780624268899,0.249246752472848,0.275533871796052,2,1,50
"step","squared_error",200,"Adaptive",2,0.541063602985135,0.546915219230704,0.259108595599366,0.287806623631337,2,1,50
"step","squared_error",500,"Fixed-2",2,0.511712078226444,0.507469206486071,0.248181513842567,0.259287692643504,2,1,50
"step","squared_error",500,"Fixed-4",4,0.49817135618965,0.498135874445883,0.248889238667481,0.249246635778402,2,1,50
"step","squared_error",500,"Adaptive",3,0.88670954377728,0.912487984844016,0.249483369737499,0.663004615106517,2,1,50
"step","squared_error",1000,"Fixed-2",2,0.482649980316142,0.485427094263,0.248416960852643,0.237010133410356,2,1,50
"step","squared_error",1000,"Fixed-4",4,0.492256588094305,0.487954250554982,0.249299276070671,0.238654974484311,2,1,50
"step","squared_error",1000,"Adaptive",3,0.915681896676817,0.919662006208842,0.248145061937374,0.671516944271468,2,1,50
"step","squared_error",2000,"Fixed-2",2,0.471389359713799,0.468871194747824,0.250151068305049,0.218720126442776,2,1,50
"step","squared_error",2000,"Fixed-4",4,0.477057167332549,0.475088775472386,0.251039638174319,0.224049137298067,2,1,50
"step","squared_error",2000,"Adaptive",3,0.913745139098846,0.917588468507927,0.250863883413047,0.66672458509488,2,1,50
"step","log_loss",100,"Fixed-2",2,0.368,0.3564,0.183135644369301,0.173264355630699,6.04,1,50
"step","log_loss",100,"Fixed-4",4,0.4516,0.448,0.182950774757973,0.265049225242027,27.2424242424242,1,50
"step","log_loss",100,"Adaptive",2,0.3538,0.3428,0.179164263963809,0.163635736036191,6.22,1,50
"step","log_loss",200,"Fixed-2",2,0.3579,0.3519,0.180657135369684,0.171242864630316,6.7,1,50
"step","log_loss",200,"Fixed-4",4,0.4567,0.4675,0.182047972853193,0.285452027146807,35.3125,1,50
"step","log_loss",200,"Adaptive",2,0.3569,0.3676,0.182024037499758,0.185575962500242,6.28,1,50
"step","log_loss",500,"Fixed-2",2,0.35416,0.35788,0.183369312844387,0.174510687155613,6.6,1,50
"step","log_loss",500,"Fixed-4",4,0.43824,0.43472,0.180546868103553,0.254173131896447,40.2222222222222,1,50
"step","log_loss",500,"Adaptive",3,0.36084,0.35608,0.180783709339348,0.175296290660652,18.5,1,50
"step","log_loss",1000,"Fixed-2",2,0.35748,0.35804,0.181538479763345,0.176501520236655,7,1,50
"step","log_loss",1000,"Fixed-4",4,0.40902,0.40632,0.182585434912017,0.223734565087983,40.609756097561,1,50
"step","log_loss",1000,"Adaptive",3,0.35878,0.35756,0.182817498891593,0.174742501108407,18.8,1,50
"step","log_loss",2000,"Fixed-2",2,0.35878,0.35529,0.180327324542003,0.174962675457997,6.84,1,50
"step","log_loss",2000,"Fixed-4",4,0.42521,0.42798,0.182498270843948,0.245481729156052,40.6315789473684,1,50
"step","log_loss",2000,"Adaptive",3,0.35936,0.35737,0.182106821611742,0.175263178388258,19.68,1,50
